Info 0    [19:19:22.135] Starting TS Server
Info 1    [19:19:22.152] Version: 4.6.4
Info 2    [19:19:22.152] Arguments: /nix/store/nld1byyfapgcm40dvwv3smv6i004wsxs-nodejs-14.19.3/bin/node /nix/store/7yhr9pm7w9l4bqn7r6qsc65mvfwsqv20-typescript-4.6.4/lib/node_modules/typescript/lib/tsserver.js --logFile /home/beethoven/Templates/MixTechProjects/Magni/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/ffe550024e01b32e92d79415d449abdb/tscancellation*
Info 3    [19:19:22.152] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [19:19:22.152] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [19:19:22.188] Format host information updated
Info 6    [19:19:22.202] Search path: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message
Info 7    [19:19:22.204] For info: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message/Message.tsx :: No config files found.
Info 8    [19:19:22.211] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [19:19:34.438] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 12227.312690999359ms
Info 10   [19:19:34.439] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:19:34.439] 	Files (168)

Info 12   [19:19:34.439] -----------------------------------------------
Info 13   [19:19:34.759] AutoImportProviderProject: found 6 root files in 6 dependencies in 314.37834399938583 ms
Info 14   [19:19:34.764] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [19:19:37.948] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 3184.0284299999475ms
Info 16   [19:19:37.948] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [19:19:37.948] 	Files (188)

Info 18   [19:19:37.948] -----------------------------------------------
Info 19   [19:19:42.548] Search path: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message
Info 20   [19:19:42.548] For info: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message/Message.tsx :: No config files found.
Info 21   [19:19:42.549] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [19:19:42.549] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Not Elapsed: 0.7372229993343353ms
Info 23   [19:19:42.549] Project '/dev/null/inferredProject1*' (Inferred)
Info 24   [19:19:42.549] 	Files (168)

Info 25   [19:19:42.549] -----------------------------------------------
Info 26   [19:19:42.549] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 27   [19:19:42.549] 	Files (188)

Info 28   [19:19:42.549] -----------------------------------------------
Info 29   [19:19:46.022] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [19:19:46.036] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 13.785632001236081ms
Info 31   [19:19:46.036] Different program with same set of files
Info 32   [19:19:46.038] getCompletionData: Get current token: 0.027935998514294624
Info 33   [19:19:46.038] getCompletionData: Is inside comment: 0.06151599995791912
Info 34   [19:19:46.039] getCompletionData: Get previous token: 0.05087899975478649
Info 35   [19:19:46.059] AutoImportProviderProject: found 6 root files in 6 dependencies in 14.16533099859953 ms
Info 36   [19:19:46.059] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 37   [19:19:46.060] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 2 structureChanged: false structureIsReused:: Not Elapsed: 0.8246020004153252ms
Info 38   [19:19:46.061] getExportInfoMap: cache miss or empty; calculating new results
Info 39   [19:19:46.233] forEachExternalModuleToImportFrom autoImportProvider: 45.51435999944806
Info 40   [19:19:46.233] getExportInfoMap: done in 188.44913499988616 ms
Info 41   [19:19:46.274] collectAutoImports: resolved 26 module specifiers, plus 0 ambient and -424 from cache
Info 42   [19:19:46.274] collectAutoImports: response is complete
Info 43   [19:19:46.274] collectAutoImports: 40.07734400033951
Info 44   [19:19:46.274] getCompletionData: Semantic work: 235.0312359984964
Info 45   [19:19:46.330] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 55.08872400037944
Info 46   [19:19:46.334] getCompletionData: Get current token: 0.012086000293493271
Info 47   [19:19:46.334] getCompletionData: Is inside comment: 0.03194599971175194
Info 48   [19:19:46.334] getCompletionData: Get previous token: 0.027879999950528145
Info 49   [19:19:46.339] getExportInfoMap: cache hit
Info 50   [19:19:46.364] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 142 from cache
Info 51   [19:19:46.364] collectAutoImports: response is complete
Info 52   [19:19:46.364] collectAutoImports: 24.623149000108242
Info 53   [19:19:46.364] getCompletionData: Semantic work: 29.877849999815226
Info 54   [19:19:46.397] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 32.926884001120925
Info 55   [19:19:46.402] getCompletionData: Get current token: 0.011039000004529953
Info 56   [19:19:46.402] getCompletionData: Is inside comment: 0.029471000656485558
Info 57   [19:19:46.402] getCompletionData: Get previous token: 0.026465000584721565
Info 58   [19:19:46.411] getExportInfoMap: cache hit
Info 59   [19:19:46.425] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 142 from cache
Info 60   [19:19:46.425] collectAutoImports: response is complete
Info 61   [19:19:46.425] collectAutoImports: 13.621119000017643
Info 62   [19:19:46.425] getCompletionData: Semantic work: 22.574783001095057
Info 63   [19:19:46.457] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 30.462736999616027
Info 64   [19:19:46.461] getCompletionData: Get current token: 0.013584000989794731
Info 65   [19:19:46.461] getCompletionData: Is inside comment: 0.025557000190019608
Info 66   [19:19:46.461] getCompletionData: Get previous token: 0.02586900070309639
Info 67   [19:19:46.465] getExportInfoMap: cache hit
Info 68   [19:19:46.482] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 142 from cache
Info 69   [19:19:46.482] collectAutoImports: response is complete
Info 70   [19:19:46.482] collectAutoImports: 16.891666000708938
Info 71   [19:19:46.482] getCompletionData: Semantic work: 21.45885800011456
Info 72   [19:19:46.498] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.990822998806834
Info 73   [19:19:46.503] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 74   [19:19:46.515] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 12.269129998981953ms
Info 75   [19:19:46.515] Different program with same set of files
Info 76   [19:19:46.515] getCompletionData: Get current token: 0.01263900101184845
Info 77   [19:19:46.515] getCompletionData: Is inside comment: 0.023764001205563545
Info 78   [19:19:46.515] getCompletionData: Get previous token: 0.03659600019454956
Info 79   [19:19:46.523] getExportInfoMap: cache hit
Info 80   [19:19:46.550] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 38 from cache
Info 81   [19:19:46.550] collectAutoImports: response is complete
Info 82   [19:19:46.550] collectAutoImports: 26.016662999987602
Info 83   [19:19:46.550] getCompletionData: Semantic work: 34.18473100103438
Info 84   [19:19:46.584] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 26.034010998904705
Info 85   [19:19:46.592] getCompletionData: Get current token: 0.02109300158917904
Info 86   [19:19:46.592] getCompletionData: Is inside comment: 0.030239999294281006
Info 87   [19:19:46.592] getCompletionData: Get previous token: 0.03485899977385998
Info 88   [19:19:46.594] getExportInfoMap: cache hit
Info 89   [19:19:46.601] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 38 from cache
Info 90   [19:19:46.601] collectAutoImports: response is complete
Info 91   [19:19:46.601] collectAutoImports: 7.061255998909473
Info 92   [19:19:46.601] getCompletionData: Semantic work: 9.60338700003922
Info 93   [19:19:46.624] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.63238599896431
Info 94   [19:19:46.628] getCompletionData: Get current token: 0.029353000223636627
Info 95   [19:19:46.628] getCompletionData: Is inside comment: 0.04595400020480156
Info 96   [19:19:46.628] getCompletionData: Get previous token: 0.0241870004683733
Info 97   [19:19:46.631] getExportInfoMap: cache hit
Info 98   [19:19:46.637] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 38 from cache
Info 99   [19:19:46.637] collectAutoImports: response is complete
Info 100  [19:19:46.637] collectAutoImports: 6.353633999824524
Info 101  [19:19:46.637] getCompletionData: Semantic work: 9.492025000974536
Info 102  [19:19:46.656] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.35240299999714
Info 103  [19:19:46.659] getCompletionData: Get current token: 0.021507998928427696
Info 104  [19:19:46.660] getCompletionData: Is inside comment: 0.03376900032162666
Info 105  [19:19:46.660] getCompletionData: Get previous token: 0.037334999069571495
Info 106  [19:19:46.666] getExportInfoMap: cache hit
Info 107  [19:19:46.673] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 38 from cache
Info 108  [19:19:46.673] collectAutoImports: response is complete
Info 109  [19:19:46.673] collectAutoImports: 6.667763000354171
Info 110  [19:19:46.673] getCompletionData: Semantic work: 13.186528000980616
Info 111  [19:19:46.682] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.669901000335813
Info 112  [19:19:46.684] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 113  [19:19:46.688] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 4.867748999968171ms
Info 114  [19:19:46.689] Different program with same set of files
Info 115  [19:19:46.689] getCompletionData: Get current token: 0.00685499981045723
Info 116  [19:19:46.689] getCompletionData: Is inside comment: 0.013728000223636627
Info 117  [19:19:46.689] getCompletionData: Get previous token: 0.01370999962091446
Info 118  [19:19:46.691] getExportInfoMap: cache hit
Info 119  [19:19:46.694] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 120  [19:19:46.694] collectAutoImports: response is complete
Info 121  [19:19:46.694] collectAutoImports: 3.722232999280095
Info 122  [19:19:46.694] getCompletionData: Semantic work: 5.489903999492526
